image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51vRuJGigWL.jpg,241895,width,225.0 millimetre
https://m.media-amazon.com/images/I/41sPaw79HVL.jpg,478357,width,160.0 centimetre
https://m.media-amazon.com/images/I/71LKdvTfnkL.jpg,369753,item_volume,2.5 ounce
https://m.media-amazon.com/images/I/51EWfSMvmTS.jpg,730429,depth,40.0 millimetre
https://m.media-amazon.com/images/I/81Woj0uc80L.jpg,558374,item_weight,1.41 ounce
https://m.media-amazon.com/images/I/71TCUQNe2JL.jpg,449805,item_weight,250.0 gram
https://m.media-amazon.com/images/I/411HSbm+yXL.jpg,375816,item_weight,100.0 gram
https://m.media-amazon.com/images/I/618ti82rq3L.jpg,589105,depth,9.5 centimetre
https://m.media-amazon.com/images/I/71FVog4nCpL.jpg,329793,item_weight,67.0 gram
https://m.media-amazon.com/images/I/81nxVnqqaCL.jpg,365637,item_weight,8 ounce
https://m.media-amazon.com/images/I/41c9lt34F8L.jpg,658892,depth,25.0 centimetre
https://m.media-amazon.com/images/I/51cqPvcouxL.jpg,210293,height,8.0 centimetre
https://m.media-amazon.com/images/I/41-6P+m3M2L.jpg,681445,depth,10.0 centimetre
https://m.media-amazon.com/images/I/616BZG2bndL.jpg,267182,item_weight,2.5 kilogram
https://m.media-amazon.com/images/I/91HhtyvoMCL.jpg,459516,item_weight,5040.0 milligram
https://m.media-amazon.com/images/I/610eqQIJbkL.jpg,558806,width,6.0 inch
https://m.media-amazon.com/images/I/91faqtTyxwL.jpg,487566,item_weight,2.0 pound
https://m.media-amazon.com/images/I/91nL9Me7vFL.jpg,281678,item_weight,30.6 gram
https://m.media-amazon.com/images/I/518S3mIYdYS.jpg,784538,width,25.4 centimetre
https://m.media-amazon.com/images/I/51eRZdbO1rL.jpg,752266,height,100.0 centimetre
https://m.media-amazon.com/images/I/61-LTgxm+kL.jpg,524635,item_weight,20.0 milligram
https://m.media-amazon.com/images/I/61-uPRLAqSL.jpg,913156,depth,3.4 inch
https://m.media-amazon.com/images/I/51rDL0cl85L.jpg,783898,depth,74.0 millimetre
https://m.media-amazon.com/images/I/61CCInnFxWL.jpg,131797,width,3.2 centimetre
https://m.media-amazon.com/images/I/71qHGsWUE3L.jpg,529606,item_weight,22.0 gram
https://m.media-amazon.com/images/I/51tM-e8baJL.jpg,594224,height,1.97 inch
https://m.media-amazon.com/images/I/6152xtaCXSL.jpg,860821,height,53.5 centimetre
https://m.media-amazon.com/images/I/41yiY-lRbLL.jpg,593646,depth,150.0 centimetre
https://m.media-amazon.com/images/I/61CNt6EfahL.jpg,966161,height,2.0 inch
https://m.media-amazon.com/images/I/81Jew7TpyYL.jpg,375816,item_weight,1.0 kilogram
https://m.media-amazon.com/images/I/618bTzobT5L.jpg,347404,height,7.8 inch
