image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/41s0ayVQoCL.jpg,524635,item_weight,4.5 milligram
https://m.media-amazon.com/images/I/517MyTf-WAL.jpg,558806,height,8.0 inch
https://m.media-amazon.com/images/I/61-0v20JTAL.jpg,630869,depth,13.0 centimetre
https://m.media-amazon.com/images/I/61+Ey9YKm7L.jpg,231838,depth,4.56 inch
https://m.media-amazon.com/images/I/51kR5Z7P2XL.jpg,752266,width,230.0 millimetre
https://m.media-amazon.com/images/I/61PA77OWOjL.jpg,709627,voltage,20.0 volt
https://m.media-amazon.com/images/I/51WUpretc5L.jpg,695925,depth,3.9 inch
https://m.media-amazon.com/images/I/91CYg3tSOCL.jpg,281678,item_weight,30.6 gram
https://m.media-amazon.com/images/I/617dXsfobYL.jpg,342931,depth,8.661 inch
https://m.media-amazon.com/images/I/61-fvGxpnPL.jpg,889729,depth,30.0 centimetre
https://m.media-amazon.com/images/I/71Dl+blLWkL.jpg,609802,item_weight,150.0 gram
https://m.media-amazon.com/images/I/61Pt-55w4RL.jpg,459516,item_volume,2.0 millilitre
https://m.media-amazon.com/images/I/71G5dtqYFBL.jpg,411423,item_weight,12.0 pound
https://m.media-amazon.com/images/I/61DdNR38HxL.jpg,913156,depth,10.5 centimetre
https://m.media-amazon.com/images/I/41m0pLaUdDL.jpg,991868,depth,19.7 inch
https://m.media-amazon.com/images/I/416VYrbEuCL.jpg,281678,item_weight,0.02 gram
https://m.media-amazon.com/images/I/71Pli4rCylL.jpg,993359,item_weight,100 gram
https://m.media-amazon.com/images/I/71cXdU2-i+L.jpg,459516,item_volume,1.0 millilitre
https://m.media-amazon.com/images/I/51T9aLA7rrS.jpg,793774,height,255.0 millimetre
https://m.media-amazon.com/images/I/51JK7a-K9cL.jpg,675317,width,3.8 centimetre
https://m.media-amazon.com/images/I/813lUauZjJL.jpg,449805,item_weight,1.45 kilogram
https://m.media-amazon.com/images/I/51eSxaAuwhL.jpg,299791,item_weight,15.0 gram
https://m.media-amazon.com/images/I/41BL8IXqpIL.jpg,311997,height,18.0 centimetre
https://m.media-amazon.com/images/I/612Jcci4SWL.jpg,639090,item_weight,120.0 gram
https://m.media-amazon.com/images/I/61F-wiEyqFL.jpg,682898,depth,3.93 centimetre
https://m.media-amazon.com/images/I/51vqMikfj5L.jpg,347404,width,14.0 inch
https://m.media-amazon.com/images/I/51gWnMrN8sL.jpg,119607,depth,3.9 inch
https://m.media-amazon.com/images/I/51NE3V69PrL.jpg,186035,height,49.0 millimetre
https://m.media-amazon.com/images/I/71Az7bq0pOL.jpg,281678,item_weight,30.0 gram
https://m.media-amazon.com/images/I/51YUPRetHAL.jpg,596684,depth,52.5 centimetre
https://m.media-amazon.com/images/I/614Ta42w4DL.jpg,986932,width,4.05 inch
https://m.media-amazon.com/images/I/61DcFsuTqhL.jpg,630869,depth,7.0 inch
https://m.media-amazon.com/images/I/617NkMX+01S.jpg,810266,height,7.15 inch
https://m.media-amazon.com/images/I/5116XwS0tjL.jpg,658892,depth,14.5 centimetre
https://m.media-amazon.com/images/I/51sWorq3rcL.jpg,709627,voltage,3.7 volt
https://m.media-amazon.com/images/I/514EApcdGUL.jpg,483370,height,22.0 centimetre
https://m.media-amazon.com/images/I/715K2LfWl7L.jpg,459516,item_weight,56.2 gram
https://m.media-amazon.com/images/I/61EHnJVmN9L.jpg,777313,height,20.5 inch
https://m.media-amazon.com/images/I/71FWRX2pXAL.jpg,459516,item_volume,10.0 millilitre
https://m.media-amazon.com/images/I/51PstpoMhWL.jpg,589105,depth,27.56 inch
https://m.media-amazon.com/images/I/51eBiEudaFL.jpg,861555,depth,21.0 centimetre
https://m.media-amazon.com/images/I/71WfY2buQaL.jpg,751532,item_weight,120.0 kilogram
https://m.media-amazon.com/images/I/81cDGOujbkL.jpg,501250,item_weight,15.0 kilogram
https://m.media-amazon.com/images/I/51Lqe3LQ2aL.jpg,132401,item_weight,200.0 kilogram
https://m.media-amazon.com/images/I/61JWtuII-TL.jpg,518578,item_weight,110.0 gram
https://m.media-amazon.com/images/I/71Ecl69GibL.jpg,709627,item_weight,230.0 gram
https://m.media-amazon.com/images/I/71ee8mff0aL.jpg,654649,item_weight,22042423.0 microgram
https://m.media-amazon.com/images/I/619zXsdqZzL.jpg,731252,width,362.0 millimetre
https://m.media-amazon.com/images/I/51DbhPixzdL.jpg,866315,height,71.0 centimetre
https://m.media-amazon.com/images/I/616LcG2JWVL.jpg,375438,height,6.81 inch
https://m.media-amazon.com/images/I/614XocG87oL.jpg,351134,height,10.7 inch
